TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200000172,CC Faucigny-Glières,2010_2015,2012.5,5,24735,26234,756,1804,1499,1048,451,0.011836915252353,0.00827557517309267,0.0035613400792603,EPCI
200000172,CC Faucigny-Glières,1968_1975,1971.5,7,11364,14354,923,1528,2990,605,2385,0.033931278568673,0.00686569348964787,0.0270655850790251,EPCI
200000172,CC Faucigny-Glières,1975_1982,1978.5,7,14354,16155,879,1740,1801,861,940,0.0170292218522823,0.00814112160733762,0.00888810024494467,EPCI
200000172,CC Faucigny-Glières,1982_1990,1986,8,16155,18924,1059,2130,2769,1071,1698,0.0199719937501752,0.00772481231724004,0.0122471814329352,EPCI
200000172,CC Faucigny-Glières,1990_1999,1994.5,9,18924,21157,1136,2547,2233,1411,822,0.0124704334342953,0.0078798842703944,0.00459054916390092,EPCI
200000172,CC Faucigny-Glières,1999_2010,2004.5,11,21157,24735,1454,3679,3578,2225,1353,0.0143057641247293,0.00889612218488615,0.00540964193984313,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2010_2015,2012.5,5,31849,34808,1611,2461,2959,850,2109,0.0179270467128374,0.005149709261883,0.0127773374509544,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1968_1975,1971.5,7,20591,21486,2040,2671,895,631,264,0.00609672024974572,0.00429835807551905,0.00179836217422667,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1975_1982,1978.5,7,21486,24644,1914,2618,3158,704,2454,0.0197834204355125,0.00441023685452844,0.0153731835809841,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1982_1990,1986,8,24644,25736,2143,2696,1092,553,539,0.00543437880476327,0.00275202516395063,0.00268235364081264,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1990_1999,1994.5,9,25736,25304,2330,2316,-432,-14,-418,-0.00187915483279444,-6.08985362479679e-05,-0.00181825629654647,EPCI
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1999_2010,2004.5,11,25304,31849,3149,4401,6545,1252,5293,0.0211332554454995,0.00404260287513604,0.0170906525703635,EPCI
200000545,CC des Portes de Romilly-sur-Seine,2010_2015,2012.5,5,17659,18671,1201,1152,1012,-49,1061,0.0112075289176146,-0.000542657032572247,0.0117501859501868,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1968_1975,1971.5,7,20192,21090,1548,2430,898,882,16,0.00623543246282887,0.00612433344344662,0.000111099019382252,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1975_1982,1978.5,7,21090,20003,1546,1993,-1087,447,-1534,-0.00753103176282721,0.00309693762464008,-0.0106279693874673,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1982_1990,1986,8,20003,19633,1755,2221,-370,466,-836,-0.00233108359347622,0.00293590528259438,-0.0052669888760706,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1990_1999,1994.5,9,19633,18670,2024,2113,-963,89,-1052,-0.00557262238706546,0.000515019099116123,-0.00608764148618159,EPCI
200000545,CC des Portes de Romilly-sur-Seine,1999_2010,2004.5,11,18670,17659,2517,2347,-1011,-170,-841,-0.00504834036372603,-0.000848880179855021,-0.00419946018387101,EPCI
200000628,CC Rhône Lez Provence,2010_2015,2012.5,5,24078,24103,970,1701,25,731,-706,0.000207572253023036,0.00606941267839358,-0.00586184042537054,EPCI
200000628,CC Rhône Lez Provence,1968_1975,1971.5,7,17992,17667,1270,2010,-325,740,-1065,-0.00260071541134832,0.00592162893660848,-0.0085223443479568,EPCI
200000628,CC Rhône Lez Provence,1975_1982,1978.5,7,17667,20834,1275,2080,3167,805,2362,0.0238350159690479,0.00605847422010848,0.0177765417489394,EPCI
200000628,CC Rhône Lez Provence,1982_1990,1986,8,20834,22802,1419,2620,1968,1201,767,0.0113466382419722,0.00692444742307351,0.00442219081889873,EPCI
